timestep,location,flow,occupy,speed
1,0,34.0,1,1
1,1,74.0,1,1
1,2,54.0,1,1
1,3,59.0,1,1
1,4,38.0,1,1
1,5,101.0,1,1
1,6,47.0,1,1
1,7,49.0,1,1
1,8,33.0,1,1
1,9,70.0,1,1
1,10,35.0,1,1
1,11,4.0,1,1
1,12,78.0,1,1
1,13,43.0,1,1
1,14,0.0,1,1
2,0,40.0,1,1
2,1,53.0,1,1
2,2,58.0,1,1
2,3,48.0,1,1
2,4,24.0,1,1
2,5,89.0,1,1
2,6,50.0,1,1
2,7,23.0,1,1
2,8,32.0,1,1
2,9,37.0,1,1
2,10,15.0,1,1
2,11,2.0,1,1
2,12,67.0,1,1
2,13,65.0,1,1
2,14,0.0,1,1
3,0,35.0,1,1
3,1,81.0,1,1
3,2,52.0,1,1
3,3,63.0,1,1
3,4,25.0,1,1
3,5,89.0,1,1
3,6,54.0,1,1
3,7,23.0,1,1
3,8,23.0,1,1
3,9,53.0,1,1
3,10,17.0,1,1
3,11,1.0,1,1
3,12,48.0,1,1
3,13,39.0,1,1
3,14,0.0,1,1
4,0,37.0,1,1
4,1,67.0,1,1
4,2,47.0,1,1
4,3,43.0,1,1
4,4,30.0,1,1
4,5,78.0,1,1
4,6,56.0,1,1
4,7,23.0,1,1
4,8,24.0,1,1
4,9,47.0,1,1
4,10,19.0,1,1
4,11,7.0,1,1
4,12,63.0,1,1
4,13,48.0,1,1
4,14,0.0,1,1
5,0,37.0,1,1
5,1,53.0,1,1
5,2,30.0,1,1
5,3,38.0,1,1
5,4,26.0,1,1
5,5,81.0,1,1
5,6,38.0,1,1
5,7,24.0,1,1
5,8,15.0,1,1
5,9,48.0,1,1
5,10,26.0,1,1
5,11,4.0,1,1
5,12,48.0,1,1
5,13,41.0,1,1
5,14,0.0,1,1
6,0,30.0,1,1
6,1,61.0,1,1
6,2,28.0,1,1
6,3,41.0,1,1
6,4,27.0,1,1
6,5,65.0,1,1
6,6,31.0,1,1
6,7,31.0,1,1
6,8,23.0,1,1
6,9,33.0,1,1
6,10,22.0,1,1
6,11,10.0,1,1
6,12,51.0,1,1
6,13,35.0,1,1
6,14,0.0,1,1
7,0,25.0,1,1
7,1,45.0,1,1
7,2,34.0,1,1
7,3,33.0,1,1
7,4,18.0,1,1
7,5,50.0,1,1
7,6,34.0,1,1
7,7,23.0,1,1
7,8,17.0,1,1
7,9,41.0,1,1
7,10,15.0,1,1
7,11,1.0,1,1
7,12,39.0,1,1
7,13,30.0,1,1
7,14,0.0,1,1
8,0,29.0,1,1
8,1,36.0,1,1
8,2,24.0,1,1
8,3,30.0,1,1
8,4,21.0,1,1
8,5,49.0,1,1
8,6,40.0,1,1
8,7,21.0,1,1
8,8,14.0,1,1
8,9,45.0,1,1
8,10,13.0,1,1
8,11,3.0,1,1
8,12,49.0,1,1
8,13,37.0,1,1
8,14,0.0,1,1
9,0,24.0,1,1
9,1,32.0,1,1
9,2,23.0,1,1
9,3,23.0,1,1
9,4,20.0,1,1
9,5,42.0,1,1
9,6,24.0,1,1
9,7,22.0,1,1
9,8,12.0,1,1
9,9,36.0,1,1
9,10,9.0,1,1
9,11,2.0,1,1
9,12,35.0,1,1
9,13,16.0,1,1
9,14,0.0,1,1
10,0,25.0,1,1
10,1,37.0,1,1
10,2,22.0,1,1
10,3,24.0,1,1
10,4,20.0,1,1
10,5,45.0,1,1
10,6,20.0,1,1
10,7,12.0,1,1
10,8,14.0,1,1
10,9,25.0,1,1
10,10,12.0,1,1
10,11,12.0,1,1
10,12,30.0,1,1
10,13,42.0,1,1
